frequency,total,recalls,mean_valence,mean_arousal,recall_probability,need_odds,log_freq,log_need,arousal_n
1,1698125,2680,5.533764071770169,3.990502345934669,0.0015782112624217887,0.0015807059503552164,0.0,-6.449883727708167,0.005346768707324451
2,318144,1246,5.563071845760251,3.9818281349058258,0.003916465499899416,0.003931864511609413,0.6931471805599453,-5.5386415351725375,0.0
3,102281,726,5.602624978099632,4.005251708228698,0.007098092509850314,0.007148835606321697,1.0986122886681098,-4.94080578780079,0.014438250169382178
4,52331,523,5.783270602950791,4.103584444381272,0.009994076169001165,0.010094966028412599,1.3862943611198906,-4.595718392412439,0.0750503790209763
5,27514,352,5.831670539912446,4.1389639517916015,0.012793486952097114,0.012959281348943377,1.6094379124341003,-4.345943041065916,0.09685824632707384
6,15328,251,5.915570618209787,4.259337563695799,0.01637526096033403,0.016647874245539564,1.791759469228055,-4.095472743647135,0.17105633295153552
7,9068,195,5.920645826721676,4.214100285623612,0.021504190560211734,0.021976783500507156,1.9459101490553132,-3.817768678271591,0.14317215282303397
8,7338,152,5.98178276481149,4.375933572710951,0.020714091032979012,0.021152240467575842,2.0794415416798357,-3.8560094468271875,0.24292591167496952
9,4587,122,5.924003879190911,4.379384871155445,0.02659690429474602,0.02732362821948488,2.1972245773362196,-3.600003448577343,0.2450532860795457
10,2848,80,5.839114583333333,4.172504340277778,0.028089887640449437,0.028901734104046242,2.302585092994046,-3.543853682063679,0.11753248390246616
11,1898,47,6.136310611384399,4.289852424455376,0.02476290832455216,0.025391680172879526,2.3978952727983707,-3.6733337108634387,0.1898656404580221
12,1037,24,6.5011051212938,4.618045822102426,0.023143683702989394,0.023692003948667325,2.4849066497880004,-3.742617673900738,0.3921634843374001
13,536,16,6.491619318181818,4.3878125,0.029850746268656716,0.030769230769230767,2.5649493574615367,-3.481240089335692,0.25024806195405214
14,431,14,6.7791304347826085,4.875454545454546,0.03248259860788863,0.03357314148681055,2.6390573296152584,-3.3940288921835426,0.550829777148929
15,237,11,7.672361111111111,5.510416666666667,0.046413502109704644,0.048672566371681415,2.70805020110221,-3.0226397264739155,0.9422193327804825
16,192,7,6.2588372093023255,4.4513178294573645,0.036458333333333336,0.03783783783783784,2.772588722239781,-3.2744456760230114,0.2893926374274763
17,179,6,7.224084507042253,5.40056338028169,0.0335195530726257,0.03468208092485549,2.833213344056216,-3.361532125269724,0.8745059566489973
18,78,5,7.5285714285714285,5.599285714285715,0.0641025641025641,0.0684931506849315,2.8903717578961645,-2.681021528714291,0.9969980603534284
19,98,3,7.801388888888888,5.582916666666667,0.030612244897959183,0.031578947368421054,2.9444389791664403,-3.455264602932431,0.9869082076524501
20,102,3,7.805696202531645,5.582658227848102,0.029411764705882353,0.030303030303030304,2.995732273553991,-3.4965075614664802,0.9867489064107271
21,118,4,7.447402597402596,5.604155844155844,0.03389830508474576,0.03508771929824561,3.044522437723423,-3.349904087274605,1.0
22,109,10,7.59,5.595600000000001,0.09174311926605505,0.10101010101010102,3.091042453358316,-2.2925347571405443,0.9947261924289029
23,99,3,7.73,5.5872,0.030303030303030304,0.03125,3.1354942159291497,-3.4657359027997265,0.9895484469264951
